index,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
1023,50,15,133.0,99.3,33.7,0.0
1024,50,15,138.1,105.4,31.7,1.0
1025,50,15,138.1,104.6,33.2,0.3
1026,50,15,137.3,104.6,31.8,0.9
1027,50,15,136.1,103.2,32.6,0.2
1028,50,15,139.0,106.6,32.2,0.2
1029,50,15,133.5,99.8,33.2,0.5
1030,50,20,131.2,94.5,36.6,0.1
1031,50,20,131.4,94.2,37.0,0.2
1032,50,20,136.0,100.7,35.0,0.2
1033,50,20,133.3,96.0,37.2,0.1
1034,50,20,132.3,95.9,36.1,0.3
1035,50,20,139.2,104.9,34.0,0.3
1036,50,20,132.9,96.9,35.0,1.0
1037,50,20,142.4,107.2,35.1,0.2
1038,50,20,133.8,98.7,34.8,0.3
1039,50,20,136.6,100.0,36.2,0.4
1040,50,25,132.7,94.5,37.9,0.2
1041,50,25,136.3,99.1,37.0,0.2
1042,50,25,135.6,98.9,35.5,1.2
1043,50,25,133.2,95.5,37.6,0.1
1044,50,25,130.5,92.3,37.8,0.3
1045,50,25,134.6,95.8,38.2,0.6
1046,50,25,133.0,95.0,37.5,0.4
1047,50,25,134.2,95.7,38.2,0.3
1048,50,25,134.3,95.8,37.5,1.0
1049,50,25,132.4,96.0,36.2,0.1
1050,50,30,132.7,92.6,39.8,0.3
1051,50,30,133.1,92.6,40.2,0.3
1052,50,30,136.1,96.2,39.5,0.3
1053,50,30,131.8,90.9,40.4,0.5
1054,50,30,134.6,94.8,39.3,0.4
1055,50,30,131.7,91.5,40.0,0.1
1056,50,30,131.9,91.7,39.2,1.0
1057,50,30,131.1,92.4,38.7,0.1
1058,50,30,132.6,90.5,41.8,0.3
1059,50,30,135.9,95.8,39.6,0.4
1060,50,35,129.5,85.9,43.3,0.3
1061,50,35,137.0,94.1,42.5,0.4
1062,50,35,134.9,94.1,40.3,0.5
1063,50,35,135.9,94.6,41.0,0.3
1064,50,35,133.2,90.1,42.9,0.2
1065,50,35,132.3,89.4,42.8,0.1
1066,50,35,131.8,88.8,42.7,0.4
1067,50,35,135.1,91.7,43.4,0.1
1068,50,35,138.7,97.5,40.9,0.4
